流号,最低数量
3359288403,5454
1842436553,5474
1395505301,3401
1831711871,11614
3708229993,1840
436925,1926
3545785231,1919
1831710902,20635
3365183438,3345
4218741187,8772
3715257541,3416
4218951734,5032
9870622,1917
47383357,1127
3719516804,2400
1839111625,4094
1831731058,14516
1212625002,1521
1402454965,3591
3720301601,1947
10022942,332
13120285,337
1394851989,1693
1934784,1566
14158,1026
3719544730,2350
2772479858,1135
1402457549,732
3719473730,114
1059092762,1000
436440,675
3716114505,113
3719535746,15
2955046273,55
3718641056,11
